,Reviews,Ratings,Sentiment
0,My kotak mahindra personal loan was taken through online.The rate of interest  and the processing  fee was nominal  and this loan  was taken for personal use .The complete process of this personal loan was clearly shared by the agent .This loan was sanctioned on time and everything was good to me so far .,4.0,1
1,"VIJAYA Bank offered me a personal loan and the loan amount was Rs. 3,00,000.  I was taken 3 years back  and it closed now,   the rate of interest and processing fees was normal and i fully paid emis. This bank has a good customer service  and i will recommend this to others.",5.0,1
2,"I have taken Incred personal loan through online. This loan was taken for my personal use and the rate of interest, processing fee was good .This loan was sanctioned on proper time frame and there was callback and follow up.The agent clearly explained the loan process and the service was good to me .",5.0,1
3,"I did not face any issues with Incred. The rate of interest, the processing  fee was nominal .The loan got sanctioned on time and the loan details  was shared  by the agent . I have submitted the documents through the agent . I have taken this loan for personal  use and everything was good to me so far .",4.0,1
4,Since  I'm in need of money so i have taken the personal loan from Home credit card because they have processed the loan very fast. I haven't check about the interest rate and processing fee. I had applied the loan amount of Rs. 1.25 lakhs and i am paying the EMI amount of Rs. 2500 for the loan tenure period of 4 years.,5.0,1
5,"My personal  loan was sanctioned on time by Tata capital .The agent clearly  shared all the details about the loan process .when customer approach, they need to handle the customer properly. Mobile app is not accurate and it does not have complete  information. I have submitted the documents through the agent .",4.0,1
6,"I got a personal loan offer from Bajaj finance once i finished the consumer durable loan with them. After i got the loan only, they are informing me about the interest rate and processing fee. They have provided me a interest rate of 28% and processing fee is 2% with the tenure period of 36 months. If they reduced the rate of interest, it will be fine for us.",2.0,0
7,I have applied the personal loan through online and i have received the loan on time. I have no idea about the interest rate and processing fee. I took this loan 2 months back and i have been paying the EMI amount of Rs. 1400 for the loan amount of Rs. 50000 but i had applied the loan amount of Rs. 1.5 lakhs.,4.0,1
8,ICICI is taking much more percentage on the interest rate when i compared to other banks. Interest rates of 4% is high which needs to be decrease. There is no issue with the customer care. ICICI is a good bank but if they are reducing the charges it would be fine. ICICI charged me a 5% for the pre-closure of the loan. The should provide the interest rate as per the market rates.,2.0,0
9,"HDFC personal loan services are quite good when i compared to other banks. HDFC is a good reputed bank and interest rate is competitive based on the market scenario. The executive who approached me from HDFC was good in handling the customer. Whatever the loan amount i have applied, the same amount has been given to me.",5.0,1
10,They were provided me a lowest interest rate which is 5%  from my Indian overseas Bank personal loan.  Branch is nearby my location and I have been holding my account with them for almost 20 years hence they have provided the loan by the next day. I have not submitted any documents to them.,5.0,1
11,"I'm very satisfied in getting the personal loan from Incred.  These people are helping me a lot and within a month, i have got the loan. Compared to other bank, Incred is providing very less rate of interest. I have applied the loan amount of Rs. 3.5 lakhs and they have sanctioned the amount of Rs. 2 lakhs depends on the credit score and the company where i work. If they are providing the same amount what customer ask, it will be good.",5.0,1
12,It was a quick process from Paysense personal loan and its easy method to apply the loan. They have taken 35 days to sanctioned this loan. I purchased this loan for business purpose. Interest rate offered was high but i have asked them to reduce the same but i haven't got any response from them. Now i pay the EMI amount of Rs. 5377 for the loan duration of 24 months.,5.0,1
13,"HDFC Interest rate is low than other banks and i got the loan amount of Rs. 4 lakhs and I don't find any issue on the overall loan process. I applied this loan through online and have uploaded the documents. It took some time to get a approval. I got the interest rate of almost 11% and i have been paying the EMI amount of Rs. 13,140 for the loan amount of Rs. 4 lakhs.",4.0,1
14,I have taken personal loan through Home Credit India Finance Pvt Ltd. The rate of interest and the processing fee was too high but the service was good .This loan was processed on proper time frame . I have submitted the documents through the agent but my number was not registered on home credit customer service so its not easy to reach them.,5.0,1
15,I have take the loan for personal use and this loan got sanctioned on time The  rate of interest and the processing  fee was high  since  had requirement  i have taken  this  loan.I have submitted the documents as well  as uploaded documents . .Everything  was good to me so far and  there was no drawbacks faced so far .,5.0,1
16,"Fifteen years back, i have taken a personal loan from ICICI Bank. The loan amount was Rs. 50k at that time i opted for 2 years,  i was paying EMI very later so that remaining 2 years is pending. I am not able to pay, i  request to fore closure  and i have to pay Rs. 30k, they reduced Rs.17k they said it will affect my Credit Score.",3.5,0
17,I have taken Tata Capital Personal loan through online .I have completed 4 EMI of this loan. The rate of interest and the processing fee was very high. The loan process was not shared by the agent .This loan was taken for education purpose only .The rate of interest has to be reduced this is my suggestion.,2.0,0
18,I have taken personal loan through online .The rate of interest and the processing fee was average .This loan was sanctioned on time and this loan was taken for my personal use only.The agent clearly shared the loan process without any discrepancy .Everything was smooth until the loan was sanctioned .,4.0,1
19,"I have a personal  loan with Indusind bank,  it was sanctioned instantly and the loan amount was 3.2 lakhs for the tenure of 12 months and this was taken for personal use . It was a paperless approval and am paying this loan via ECS without any delay.",4.0,1
20,"HDFC has offered a personal loan because I am having salary account with them so got pre approved offer, hence taken this loan on 2 years ago. The amount of 3.59L with  tenure period of 5  years. The rate of interest is high of 17% and processing fee of  2%. The pre closure is applicable after 1year of locking period. EMI need to pay of 8K. I use to payment through online.",4.0,1
21,"My HDFC personal loan is going to over in next 3 months. On Beginning days, my friend was working in HDFC bank hence he was helped me to get the loan. Interest rate is little bit high when i compared to others because it is 12.5%. I got the loan amount of Rs. 3 lakhs with the duration of 24 months.",5.0,1
22,"Taken my personal loan from Axis bank around 2.5 years back. When i approached them, at that time they have accepted my proposal immediately.  My brother was working over there so that they have provided an interest rate of 11% for the loan amount of Rs. 11.5 lakhs. Documentation process was smooth and they took only 1 day to sanctioned the loan.",5.0,1
23,IDFC Bank offered a personal loan and the loan amount was Rs.2L. The rate of interest was normal and i am paying EMI of Rs.5600. I have done a top on my loan for 3 years. I bought two wheeler based on that i got this loan offer which have received within a week.,5.0,1
24,"I have taken personal loan through Capital First.The rate of interest was 12%,  it was medium . I have uploaded documents through online .The loan process was clearly shared by the agent .There was no difficulties faced so far until the loan got sanctioned .",4.0,1
25,"Axis bank personal loans are very convenient and the interest rates are less hence its practically good loan services. Took the loan amount of Rs. 50000 and i pay the EMI amount of Rs. 2300. I have no idea about the interest rate. I have chosen the duration of 2 years to close the loan. Due to the low interest rates and easy processing, i have chosen the Axis bank for my personal loan.",4.0,1
26,HDFC people were contacted me continuously to take the personal loan at that time i had a minor amount of cash. They had given me a option that i can foreclose the loan after 6 months but normally give a lockin period of 1 year. I contacted the local loan section said that they will do a fore-closure after 10 months hence i will not recommend HDFC loan service to any of my friends because they don't have any standard procedure.,3.0,0
27,"From HOME CREDIT,  i have taken a personal loan 3 years back and it got closed.  The rate of interest was nominal, the emi paid around Rs. 3k and the loan amount was Rs. 70,000. I got this loan offer through online and every thing was done very smooth.",5.0,1
28,"I maintain my salary account with ICICI for many years hence I got a pre approved loan offer, so I taken on  6 months ago. The amount was sufficient with tenure period of 3 years. EMI need to pay of 6,800 rupees. The rate of interest  was 14% is high and processing  fee was deducted for this loan. The pre closure is applicable.",5.0,1
29,"RBL Bank offered a personal loan, the loan amount was Rs.  1.50L. The rate of interest was higher13% and i opted for the tenure period of 3 years. EMI of Rs.7000, i am paying every month and that not sure about pre closure charges . Customer service was quite good.",4.0,1
30,I have availed  HDFC bank personal loan through online .The loan process was clearly shared by the agent and the rate of interest and the processing fee was nominal .This loan was taken for my personal use without any delay got this loan.I am paying the premium on EMI basis There was proper callback and follow up from bank end .Processing fee was very high if it is reduced it will be good  this is my suggestion.,5.0,1
31,"I have taken Incred personal loan through online. This loan got sanctioned on time and the rate of interest and the processing fee was ok but cheque bounce charges was deducted while availing this loan without any intimation. According to my experience, their service was average.",2.0,0
32,Mera Dil ki tum hi hi hi thanks for your time to get a chance I can get a new one for the use of this email is strictly forbidden to the use was authorized to receive these emails from Facebook to connect to the same thanks for the same bank account number is not available on this email is easy to work,5.0,1
33,"I have taken a personal loan from HDFC after one month I am going to close the loan. I taken this loan on 3 years back for the amount of 1.17L with tenure period of 3 years. It is pre approved loan and they have sanctioned within 2 days, the rate of interest of 14% is high. The processing fee of 5K was deducted from loan. EMI need to pay of 4K.  I use to do payment through online.",4.0,1
34,I have taken this HDFC bank personal loan through online for my personal use only.The rate of interest was very high due to my immediate requirement i took this loan.This loan was sanctioned within a week time .The loan process was clearly shared by the agent. I have submitted the required documents through the agent. My premium due date is 6th of every month. The process was very smooth and paying the premium on time .,5.0,1
35,I have taken my personal loan 2 months back and HDFC have sanctioned my personal loan immediately. They have offered me a convenient interest rate. I have selected the duration of 3 years. I pay the EMI amount of Rs. 6000 approximately for the loan amount of Rs. 3 lakhs.,5.0,1
36,"Personal loan with Axis bank is very easy and very comfortable. When i need some extra money i approached the Axis bank and they have provided so fast. Its because of my salary account is in Axis bank, i chose them. Provided interest rate is 10%. They charged me a processing fee of 1% and i pay the EMI amount of Rs. 2500 per month for the loan amount of Rs. 50000.",4.0,1
37,"From Kotak Bank, i have taken a personal loan and the amount was Rs. 2L. Nominal interest rate they given, for the tenure period of 3 years. EMI i am paying Rs. 20k, loan process was easy i received with in 1 week . Pre closure charges is there and they giving a good service.",5.0,1
38,Interest rate is less when i compared to others thats the reason i have selected the personal loan from HDFC bank.  I had applied the loan amount of Rs. 2L. I have not given any documents since the executive was not visited to my place. I have selected 3 years to close this loan. No one as not given me a proper follow up from their end.,2.0,0
39,"They have given me a good services from TATA Capital. Interest rate is high but for an urgent basis, they have given me a loan. I have taken the loan amount of Rs. 1.25 lakhs with the interest rate of 18%. They have given me a medical insurance along with the processing fee. I have been paying the EMI amount of Rs. 3825.",5.0,1
40,"The processing fee is very less when I'm comparing to other bank thats the reason I opted the personal loan with HDFC. They have provided me a interest rate of 11.25% and i took the loan amount of Rs. 5L  at once and 4L again. I have been paying the EMI amount of Rs. 8,435. They haven't taken any hidden charges and I have selected the duration of 60 months.",3.0,0
41,"I have applied a personal loan from HDFC through online. On time I got a call from their end for further process, but on sudden banker has closed the loan process and not shared the reason. The amount was sufficient which was intimated from my end with tenure period of 5 years. The rate of interest is nominal.",3.0,0
42,"The rate of interest is high 18% which I have taken a personal loan from IDFC bank on 4 years back. The tenure period of 5 years with sufficient amount. At that time when I applied in CAPITAL FIRST but now converted  to this bank, processing fee was applicable. EMI need to pay of 5,600 rupees.  There is pre closure was applicable after 1 year and I get remainder message on time.",3.0,0
43,"From BAJAJ FINANCE, i have taken a personal loan and the loan amount was Rs. 1L. The rate of interest was high and the loan going to completed and i opted for 3 years. I am paying Rs.  4200 something  and directly i got this offer from bank and they giving good service.",3.0,0
44,"From Fullerton they offered me a personal loan and the loan amount was Rs. 1.75L. The rate of interest was  very high 25% and I opted for the tenure of 5 years. EMI  I am paying Rs. 6,800 and still its running, pre closure option is there after 1 year. I applied this loan directly through bank.",3.0,0
45,"Based on my personal loan experience with HDFC Bank.This loan was directly availed and the rate of interest and the processing fee was nominal. Paying EMI of 5k to 6k tenure of 3 years. I received the loan within a 3 days, customer service was good.",4.0,1
46,"I got an offer for personal loan directly from KOTAK Bank and the loan amount was Rs. 45,000. They blocked my card and they given this loan with the rate of interest was average. I am not sure with  EMI and still the loan is active so based on my card they offered and I received this loan within 3 days.",4.5,1
47,"Rate of interest was very high 18%  in AXIS Bank for the personal loan and the loan i was taken for Rs. 80k. EMI i am paying Rs.3000 and it got approved within 3-4 days, i have selected for 48 months. Pre closure charges is there and i got this loan offer directly from bank. AXIS Bank provides good customer service.",4.5,1
48,"Since I am holding a salary account with AXIS bank I got pre approved personal  loan offer.  I took this loan on 4 months back. Only rate of interest  is bit high of 14.99% when compare to other bank. The amount was much  sufficient with tenure period of 4 years. The processing fee of  2,200 rupees. There is an option of pre closure of 6 months without any charge.  EMI need to pay of around 4,600 rupees.",5.0,1
49,"The loan amount was Rs. 4L and the rate of interest was okay with Indusind Bank. EMI 14,200 with the tenure of 3 years i guess, pre closure charges really i am not sure. Based on my personal saving account i got offer and instantly loan got approved.",5.0,1
50,"Kotak Bank offered a personal loan and the loan amount was Rs. 2.10L. Rate of interest was very high 16.49% need to decrease the interest rate,  emi i am paying Rs. 7500. Recently i have taken this loan and i am having credit card based on that i got this loan offer.",3.0,0
51,"From AXIS Bank, i got a personal loan offer and the loan amount was Rs. 6,00,000. I opted for the tenure of 5 years, i have completed 2 years and i am paying EMI 13500. The rate of interest was normal 12.49% and there is a no pre closure charges and this bank gives good service.",4.5,1
52,I have taken personal loan directly through HDFC  bank.This loan is still active and the rate of interest and the processing fee was quite nominal.This loan was sanctioned on time and availed for my personal use only.There is no charges for delay payment and i am satisfied with the overall service.,5.0,1
53,"The rate of interest was very high in AXIS Bank, it was 18% for the personal loan. I am paying EMI of Rs.22800 for the loan amount of 8L and i opted for the tenure period of  5 years. They are providing a good service and i got a call from bank for a pre-approved loan which have availed.",4.0,1
54,I have applied for HDFC bank personal loan through online .I have submitted documents later there was no response later .The  loan process was clearly shared by the agent .There was proper acknowledgement from bank end .If unable to process any product which  applied online need to give the reason that is my suggestion.,1.0,0
55,Bajaj Finance has given me a pre-approved loan offer hence i have taken the same. They have offered me a high interest rate which is 19% to 23%. I have selected the tenure period of 3 years. Now I'm paying the EMI amount of Rs. 9000. They have sanctioned the loan in 2 days after given the documents to the collection executive.,4.0,1
